City,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,Age
Bellflower,Graduate Degree,Clerical,F,M,1,2,0,2,78265,38
Edmonds,Graduate Degree,Professional,F,S,1,0,0,0,130073,39
Spring Valley,Bachelors,Skilled Manual,M,S,1,1,0,0,52867,55
Kirkby,Bachelors,Management,M,M,1,2,1,2,102900,44
Bremerton,Graduate Degree,Professional,F,M,1,1,0,0,135285,32
Marysville,Partial College,Manual,M,S,0,0,0,0,32186,43
Port Macquarie,Bachelors,Management,M,S,0,1,0,0,103330,30
Geelong,Bachelors,Management,F,S,1,2,0,0,106325,40
Lincoln Acres,Bachelors,Manual,F,S,0,0,0,0,32119,41
Lemon Grove,Partial College,Management,M,S,0,2,0,0,110423,26
London,Partial College,Management,F,S,0,3,0,0,111933,33
Kirkby,Graduate Degree,Clerical,M,M,1,2,1,2,79626,69
Lemon Grove,Partial College,Clerical,F,M,1,2,0,2,81432,51
Salzgitter,High School,Clerical,F,S,0,3,0,0,85018,34
Rhodes,Graduate Degree,Professional,F,S,1,0,0,0,133030,52
Burien,Bachelors,Skilled Manual,M,M,1,0,0,2,53242,62
Matraville,Partial College,Skilled Manual,F,S,0,0,0,0,58831,26
York,Partial High School,Manual,M,S,0,0,0,0,25674,32
Watford,High School,Skilled Manual,M,M,0,1,0,2,53957,33
Lakewood,High School,Clerical,M,M,0,1,0,0,78930,28
Langley,Graduate Degree,Professional,F,M,1,2,0,0,127377,42
Bremerton,Bachelors,Skilled Manual,F,M,1,2,1,2,53231,52
Burbank,Graduate Degree,Professional,M,M,1,2,0,0,131594,32
Lakewood,Bachelors,Management,M,S,1,3,0,0,105435,43
Maidenhead,Graduate Degree,Management,F,M,1,0,2,2,105879,44
Lynnwood,Partial College,Manual,F,S,1,1,0,0,28314,53
Cergy,Partial College,Management,M,M,1,3,0,2,107290,41
Milsons Point,Bachelors,Skilled Manual,F,M,1,2,1,2,59780,67
Dresden,Bachelors,Management,M,M,1,2,0,0,109727,37
Metchosin,Bachelors,Management,M,M,1,2,1,2,109085,41
Matraville,Partial High School,Skilled Manual,F,M,1,2,0,2,53079,56
Paris,Bachelors,Management,F,M,1,2,0,0,111648,32
Sulzbach Taunus,Partial College,Skilled Manual,M,S,0,0,0,0,59582,29
East Brisbane,Bachelors,Manual,M,M,0,1,1,2,34874,41
San Francisco,Bachelors,Management,M,S,1,2,0,0,110367,41
North Ryde,Partial High School,Skilled Manual,M,S,0,1,0,0,55949,35
Fremont,Bachelors,Skilled Manual,F,S,1,1,0,1,57091,60
Woodland Hills,Partial High School,Manual,M,S,0,1,0,0,34018,52
Daly City,Partial College,Management,M,M,1,1,0,0,111929,27
Redwood City,Partial High School,Manual,M,M,1,1,0,2,30992,51
Coronado,Partial College,Manual,F,M,1,0,1,2,29509,53
Perth,Bachelors,Professional,M,S,1,1,0,0,134507,33
Bellingham,Partial College,Management,M,S,0,3,0,0,108942,26
Bremerton,Bachelors,Clerical,M,M,1,1,1,2,79360,76
Spokane,High School,Skilled Manual,F,S,1,1,0,0,52326,49
Warrington,Partial High School,Skilled Manual,F,M,1,1,1,2,55425,58
Cliffside,Graduate Degree,Skilled Manual,F,M,0,1,0,2,53626,34
Spokane,Partial College,Clerical,F,M,1,2,0,2,86771,45
Cambridge,Partial College,Clerical,F,S,1,1,0,0,79256,48
National City,Graduate Degree,Clerical,M,S,0,1,0,0,81165,38
Lavender Bay,Graduate Degree,Professional,F,M,1,3,0,3,129902,75
Burlingame,Partial High School,Skilled Manual,M,S,1,1,0,0,51339,51
Woodburn,Bachelors,Management,F,M,1,1,1,2,111026,72
Bellingham,Graduate Degree,Professional,M,M,1,4,0,2,131609,47
Redwood City,High School,Skilled Manual,M,M,1,1,0,2,56285,44
Beverly Hills,Partial College,Manual,F,S,0,0,0,0,26039,48
South Melbourne,Bachelors,Management,F,M,0,2,0,0,108306,27
Cranbourne,Partial High School,Manual,M,M,0,0,1,2,30154,34
Haney,High School,Skilled Manual,F,M,0,1,0,0,60249,25
Walla Walla,Partial College,Skilled Manual,F,S,0,0,0,0,55119,31
Matraville,Partial High School,Skilled Manual,F,S,0,1,0,0,61057,33
Walla Walla,Partial College,Management,M,S,1,3,0,0,109709,40
Milsons Point,Partial High School,Skilled Manual,F,S,1,1,0,0,59241,55
N. Vancouver,Partial High School,Manual,M,S,0,0,0,0,31592,26
London,High School,Manual,M,S,0,1,0,0,26921,39
Gold Coast,Bachelors,Clerical,F,M,1,1,1,1,81862,36
Walla Walla,Partial High School,Skilled Manual,M,M,1,0,1,2,52911,52
Gloucestershire,Graduate Degree,Clerical,F,S,0,2,0,0,86191,36
San Gabriel,Graduate Degree,Skilled Manual,F,S,1,1,0,0,55751,52
South Melbourne,Partial High School,Skilled Manual,F,M,1,2,2,2,61120,56
Newcastle upon Tyne,Partial College,Management,M,M,1,2,1,2,108994,53
Rockhampton,Graduate Degree,Clerical,M,S,0,2,0,0,78367,39
Bellflower,Bachelors,Clerical,M,M,1,1,0,1,78595,43
Marysville,Graduate Degree,Management,F,M,1,1,0,1,112480,33
Seattle,Partial College,Skilled Manual,M,S,0,2,0,0,56887,27
Newton,Partial College,Manual,M,S,0,0,0,0,34642,30
Langford,Partial College,Clerical,F,M,1,1,1,1,86622,44
Bellflower,High School,Skilled Manual,F,S,1,2,0,0,55862,57
Bellflower,Partial College,Skilled Manual,M,S,0,1,0,0,52032,26
W. Linn,Graduate Degree,Professional,M,M,1,1,2,2,132734,34
Cliffside,Partial High School,Manual,F,S,0,1,0,0,35666,27
Ballard,Partial High School,Skilled Manual,F,S,0,0,0,0,57232,27
Hobart,High School,Clerical,F,S,0,2,0,0,86460,28
Coronado,Graduate Degree,Professional,M,S,1,2,0,0,128569,38
Neunkirchen,Partial College,Skilled Manual,F,S,0,2,0,0,56801,27
Woolston,Partial College,Skilled Manual,F,S,1,1,0,0,52768,54
Concord,High School,Manual,F,M,0,0,0,0,34240,27
Silverwater,Bachelors,Management,F,M,1,2,0,0,103855,30
München,Bachelors,Skilled Manual,F,M,1,0,0,1,56973,40
Stuttgart,Partial College,Manual,F,M,1,0,0,2,32282,53
Paris,Bachelors,Professional,M,M,1,2,1,2,130934,36
Newcastle upon Tyne,Graduate Degree,Management,M,S,0,2,0,0,108996,36
Bellingham,Graduate Degree,Clerical,M,S,0,2,0,0,78437,38
Goulburn,Bachelors,Clerical,M,M,0,1,0,0,83170,30
Oak Bay,Partial High School,Skilled Manual,M,M,1,0,1,2,60691,50
Liverpool,Bachelors,Management,F,M,1,1,1,2,107737,42
Burien,Partial College,Skilled Manual,M,S,0,1,0,0,55019,30
Croix,Partial College,Management,F,S,1,1,0,0,111422,42
Puyallup,Graduate Degree,Manual,F,M,1,1,0,2,27941,66
Les Ulis,Bachelors,Management,M,M,1,1,1,1,105624,34
London,Graduate Degree,Management,F,M,1,2,1,2,111852,42
Oakland,Partial College,Clerical,M,M,0,2,0,0,82878,27
Port Hammond,Bachelors,Manual,M,M,0,0,0,1,29987,36
Colma,High School,Skilled Manual,M,S,0,1,0,0,53778,30
Kirkland,Graduate Degree,Clerical,F,M,1,3,1,2,76989,61
Sooke,Graduate Degree,Manual,M,M,0,1,0,2,27189,33
Oxford,Bachelors,Clerical,M,M,1,3,0,2,82883,43
Paderborn,Partial College,Skilled Manual,M,S,1,1,1,1,56699,60
West Covina,Partial College,Skilled Manual,F,M,0,1,0,0,56738,26
Bottrop,Partial College,Clerical,F,S,0,1,0,0,80715,26
Palo Alto,Partial College,Manual,F,M,1,1,1,2,33176,44
Victoria,Partial High School,Skilled Manual,M,S,0,2,0,0,51021,26
Redwood City,Partial College,Skilled Manual,F,M,0,1,0,0,58361,32
Newcastle,Partial College,Clerical,F,M,0,2,0,0,86643,27
Lille,Partial College,Clerical,M,M,1,2,1,2,77801,42
Burien,Bachelors,Management,F,S,0,1,0,0,105113,36
Beaverton,Bachelors,Clerical,F,M,1,3,0,2,81187,65
Hamburg,Partial High School,Manual,M,M,0,0,0,2,36208,39
Courbevoie,Partial College,Management,F,M,1,3,0,1,102435,42
Rhodes,Partial College,Skilled Manual,F,S,1,1,0,0,60188,55
San Gabriel,Bachelors,Clerical,M,M,1,2,1,1,82124,41
Warrnambool,Bachelors,Clerical,M,S,0,2,0,0,78232,39
Goulburn,Partial College,Clerical,M,M,1,2,1,2,85534,44
Port Orchard,High School,Manual,F,S,0,1,0,0,32479,29
Saint Ouen,Bachelors,Skilled Manual,F,M,0,0,0,0,53846,32
Bremerton,Bachelors,Clerical,M,S,1,0,0,0,77374,45
Versailles,Partial College,Skilled Manual,F,S,1,1,0,0,57093,52
London,Partial High School,Skilled Manual,M,S,0,1,0,0,54863,30
Stoke-on-Trent,Bachelors,Skilled Manual,M,M,1,1,1,1,53516,42
Paris,Bachelors,Management,F,M,1,1,0,1,106833,50
Dunkerque,Partial College,Skilled Manual,M,M,1,0,0,2,55669,42
Boulogne-Billancourt,Partial High School,Manual,F,S,0,1,0,0,33116,25
Gold Coast,High School,Clerical,F,M,1,1,0,2,79189,53
Los Angeles,Graduate Degree,Clerical,M,S,1,3,0,0,79677,51
Downey,Bachelors,Clerical,F,S,0,2,0,0,80203,39
Kiel,Graduate Degree,Skilled Manual,M,M,1,1,0,2,58517,44
South Melbourne,High School,Clerical,M,M,1,1,1,1,82743,35
Braunschweig,Partial High School,Skilled Manual,M,M,0,0,0,0,57989,31
Lancaster,Bachelors,Professional,M,M,1,1,0,2,132451,61
Geelong,Partial High School,Skilled Manual,M,S,1,1,0,0,56964,50
Newcastle upon Tyne,Bachelors,Manual,M,S,0,1,0,0,29839,35
Imperial Beach,Partial High School,Manual,M,M,1,1,1,2,31999,51
Lake Oswego,Partial College,Clerical,M,M,1,2,0,2,77492,49
Marysville,Bachelors,Manual,M,S,0,0,0,0,37195,46
Caloundra,Partial College,Management,M,S,1,0,0,0,103354,50
Portland,Graduate Degree,Skilled Manual,F,M,0,0,1,1,53969,34
Woodburn,Graduate Degree,Management,F,S,1,1,0,0,107287,39
Los Angeles,Bachelors,Management,M,M,1,2,1,2,111371,61
San Gabriel,Partial College,Clerical,F,S,1,1,0,0,80169,44
Coronado,Graduate Degree,Manual,F,S,0,0,0,0,32995,33
Colma,Bachelors,Clerical,F,S,1,1,1,1,79046,59
Geelong,Graduate Degree,Manual,M,M,1,1,1,2,34536,75
Cliffside,High School,Manual,M,M,1,0,2,2,27942,48
Bremerton,Bachelors,Management,F,S,0,3,0,0,109299,37
Poing,Partial College,Clerical,M,M,0,1,0,0,83935,29
Sunbury,Bachelors,Skilled Manual,M,S,0,1,0,0,61051,42
Hamburg,High School,Clerical,F,M,1,3,1,1,86764,48
Cranbourne,Partial College,Clerical,M,M,1,2,0,3,78419,65
Bremerton,Graduate Degree,Management,M,M,1,2,1,2,110153,47
Bremerton,Bachelors,Professional,M,M,1,2,0,2,138941,63
East Brisbane,Bachelors,Management,F,S,1,2,0,0,110326,41
San Carlos,Bachelors,Management,M,M,1,2,2,2,105525,57
Les Ulis,High School,Skilled Manual,F,M,1,1,2,2,52152,61
Issaquah,Graduate Degree,Professional,M,M,1,3,0,1,131875,36
Daly City,Graduate Degree,Skilled Manual,F,M,1,1,0,2,58683,46
Stuttgart,Partial College,Clerical,M,S,0,1,0,0,81000,37
Wollongong,Bachelors,Manual,M,M,1,0,2,2,32703,64
Paris,Bachelors,Clerical,M,M,1,2,2,2,84096,35
Langley,Partial College,Management,F,M,1,1,1,1,104666,48
Issaquah,Bachelors,Clerical,M,S,1,2,0,1,87044,61
Milsons Point,Bachelors,Manual,F,S,0,1,0,0,33706,39
Cliffside,Bachelors,Skilled Manual,F,M,1,1,1,2,54698,64
Hamburg,Partial College,Clerical,F,S,0,2,0,0,76405,27
Santa Monica,Bachelors,Manual,M,M,1,1,1,2,34166,56
Burbank,Graduate Degree,Management,M,M,1,2,0,2,108887,65
Oregon City,Partial College,Clerical,F,M,0,3,0,0,86709,31
Seattle,Partial College,Clerical,M,M,1,0,0,1,83799,45
Offenbach,Partial College,Clerical,F,S,0,2,0,0,80489,26
Lynnwood,Partial College,Management,F,M,1,2,0,2,107806,50
Puyallup,High School,Manual,M,M,1,1,0,2,29369,54
Glendale,Graduate Degree,Professional,M,M,1,3,0,2,128063,52
Woodland Hills,Partial College,Skilled Manual,M,M,1,0,2,2,51600,55
Burbank,Partial College,Skilled Manual,M,M,1,1,0,2,57173,48
Bobigny,Partial College,Skilled Manual,M,S,0,1,0,0,54050,47
Victoria,Partial College,Skilled Manual,M,M,1,1,1,1,53657,44
Frankfurt am Main,Partial College,Manual,F,S,0,1,0,0,31128,28
Bobigny,High School,Manual,M,S,0,0,0,0,28837,40
Milsons Point,Bachelors,Clerical,F,M,1,2,1,1,82838,43
Cheltenham,High School,Clerical,M,M,1,2,1,2,82407,52
Woodburn,Graduate Degree,Management,F,M,1,2,0,2,110461,69
Frankfurt am Main,Bachelors,Clerical,M,M,0,3,0,0,82939,32
Royal Oak,Partial High School,Skilled Manual,M,S,0,1,0,0,55728,26
Sooke,Bachelors,Skilled Manual,M,M,1,1,2,2,57903,63
Newton,Graduate Degree,Skilled Manual,F,M,0,1,0,1,56677,32
Yakima,Partial College,Management,F,S,0,2,0,0,107659,27
London,Partial High School,Skilled Manual,F,M,1,2,1,2,59304,39
Cambridge,Partial High School,Manual,M,M,0,0,0,0,27141,24
Santa Cruz,Bachelors,Professional,F,S,1,2,0,1,133499,58
West Sussex,Graduate Degree,Skilled Manual,M,M,1,1,0,2,57092,60
Oxon,Graduate Degree,Manual,F,M,1,0,1,2,26305,59
Puyallup,High School,Skilled Manual,F,S,0,1,0,0,51775,29
Warrington,Partial High School,Skilled Manual,M,M,1,0,1,2,57670,42
Courbevoie,Partial High School,Manual,M,M,0,0,0,0,28132,30
Suresnes,High School,Manual,F,M,1,1,1,2,32313,53
Spokane,Graduate Degree,Clerical,M,S,0,3,0,0,85835,37
Bothell,High School,Clerical,M,S,0,1,0,0,87703,26
Sunbury,Bachelors,Clerical,F,M,0,1,0,0,86213,26
Concord,Partial College,Skilled Manual,F,M,1,0,0,2,52617,47
Grossmont,Graduate Degree,Management,F,M,1,2,2,2,103903,65
Clarkston,Graduate Degree,Manual,F,M,0,0,2,2,31816,33
Paris,High School,Skilled Manual,F,S,0,1,0,0,61146,39
North Ryde,Bachelors,Skilled Manual,M,M,1,1,1,2,62248,40
Lavender Bay,Partial High School,Manual,F,M,0,1,0,1,29303,34
Croix,Partial College,Manual,F,S,1,0,0,1,35887,62
Kirkby,Bachelors,Management,M,M,1,2,0,0,104364,31
Les Ulis,Graduate Degree,Skilled Manual,F,M,1,1,1,2,54617,43
East Brisbane,Partial College,Clerical,M,M,1,1,1,2,83871,52
Warrnambool,Bachelors,Manual,M,M,1,1,1,2,35482,45
Hawthorne,Partial College,Skilled Manual,F,S,1,1,0,1,56369,69
Wokingham,Graduate Degree,Professional,F,S,1,2,0,0,134816,35
Port Hammond,Partial College,Manual,F,M,1,1,1,1,34200,49
Malabar,Bachelors,Skilled Manual,F,M,1,1,0,1,60473,43
Berlin,High School,Manual,M,M,0,1,1,1,34026,41
Beaverton,Graduate Degree,Professional,F,M,1,2,0,1,127299,51
National City,Partial College,Skilled Manual,M,M,0,1,0,0,51811,31
Bendigo,Bachelors,Skilled Manual,F,M,0,0,0,0,61202,31
Everett,High School,Skilled Manual,M,S,1,1,0,0,57188,48
Redwood City,High School,Manual,M,M,0,0,1,1,32495,33
Hannover,Partial College,Clerical,M,M,1,1,1,2,81582,36
Versailles,High School,Clerical,F,S,0,3,0,0,82195,35
Spokane,Partial College,Manual,F,S,1,1,0,0,27400,55
Oak Bay,Graduate Degree,Skilled Manual,M,M,0,1,0,2,52259,33
London,Bachelors,Clerical,F,M,1,1,0,2,82120,62
San Gabriel,Partial High School,Manual,M,M,1,1,1,2,29056,48
San Diego,Graduate Degree,Professional,M,M,1,1,1,1,133891,38
Bracknell,High School,Skilled Manual,M,S,0,1,0,0,51391,36
Portland,High School,Clerical,F,M,1,2,1,2,83996,56
Port Orchard,Partial College,Manual,F,S,0,1,0,0,31576,27
San Gabriel,Bachelors,Skilled Manual,F,S,0,1,0,0,54486,38
Boulogne-sur-Mer,High School,Clerical,M,M,1,3,1,2,84334,48
Paris La Defense,Partial College,Skilled Manual,F,M,0,1,1,2,59461,34
Burbank,High School,Clerical,F,S,0,2,0,0,82832,30
Rhodes,Bachelors,Manual,M,S,0,1,0,0,36801,25
Milton Keynes,High School,Clerical,F,S,0,2,0,0,81335,32
San Gabriel,High School,Clerical,F,M,1,1,1,2,85443,48
Lane Cove,Partial College,Skilled Manual,M,S,0,1,0,0,54525,45
Port Orchard,High School,Manual,F,S,1,1,0,0,33476,54
Colomiers,Partial College,Skilled Manual,M,M,0,1,0,2,52808,36
Yakima,Partial College,Skilled Manual,M,S,1,1,0,0,57140,52
Renton,Graduate Degree,Clerical,F,S,0,2,0,0,86962,35
Newton,Partial College,Clerical,F,M,1,3,1,2,78907,46
Coronado,Bachelors,Professional,M,S,1,2,1,1,133359,63
Rhodes,Partial College,Clerical,F,S,1,2,0,0,84192,43
Walla Walla,Graduate Degree,Management,M,M,1,1,0,2,108043,64
Frankfurt am Main,Graduate Degree,Professional,M,M,1,2,1,2,139082,36
Renton,Graduate Degree,Professional,M,M,1,3,0,0,133722,47
Berkeley,Partial College,Management,F,S,0,2,0,0,105797,26
Port Macquarie,Graduate Degree,Management,F,S,0,0,0,0,102618,35
Leeds,Partial College,Manual,F,M,1,1,1,1,32638,52
Leeds,Graduate Degree,Management,F,M,1,2,0,0,110774,36
Burien,Partial College,Skilled Manual,M,S,0,2,0,0,61913,38
Langford,High School,Skilled Manual,F,S,0,1,0,0,51197,27
Spring Valley,Graduate Degree,Clerical,F,M,1,1,1,2,86708,46
South Melbourne,Bachelors,Clerical,M,M,0,1,0,0,77552,32
Saint Ouen,Partial College,Skilled Manual,F,S,0,0,0,0,58598,28
Shawnee,High School,Manual,F,M,1,1,1,2,27991,50
Bremerton,High School,Skilled Manual,F,S,0,2,0,0,54685,24
Peterborough,Partial College,Clerical,F,M,1,2,0,1,86504,51
Burbank,Partial College,Skilled Manual,M,S,1,2,0,0,61527,54
Burlingame,High School,Manual,F,S,0,0,0,0,29964,29
Cliffside,Partial College,Management,F,M,1,1,0,1,107122,42
Saint Ouen,Bachelors,Skilled Manual,M,M,0,0,0,0,53310,32
München,Partial High School,Manual,M,S,0,1,0,0,30000,32
Cranbourne,Partial College,Manual,F,M,1,0,0,2,35754,68
Werne,Partial High School,Skilled Manual,F,S,0,0,0,0,60167,30
Port Macquarie,Graduate Degree,Professional,M,S,1,3,0,0,131186,35
Colma,Partial High School,Manual,M,S,0,0,0,0,31407,24
Sydney,Bachelors,Skilled Manual,F,S,0,1,0,0,59178,42
Issaquah,Bachelors,Clerical,M,M,1,1,1,1,77508,36
Puyallup,Graduate Degree,Management,F,M,1,1,1,1,112843,33
Braunschweig,Bachelors,Management,M,M,1,3,0,0,111307,39
Cergy,Partial High School,Skilled Manual,M,S,0,1,0,0,54746,25
Solingen,Partial High School,Manual,F,S,0,1,0,0,30086,40
Olympia,Partial College,Manual,F,S,0,0,0,0,31079,41
Courbevoie,Bachelors,Management,M,M,1,1,1,2,107295,34
Beverly Hills,Graduate Degree,Professional,M,S,1,2,1,1,128103,72
Stuttgart,Partial College,Clerical,M,M,1,1,0,2,77062,53
Billericay,Bachelors,Manual,M,M,0,0,1,2,30424,42
San Francisco,Bachelors,Professional,F,M,1,1,1,2,135239,38
Esher-Molesey,Partial College,Management,M,M,1,1,1,2,102266,58
Cliffside,Bachelors,Manual,M,M,0,0,0,1,28106,37
Leipzig,Bachelors,Skilled Manual,F,M,1,0,1,1,58719,39
Port Orchard,Partial College,Skilled Manual,M,M,1,2,1,2,59497,57
Bellingham,High School,Skilled Manual,F,M,1,1,1,1,60295,45
Yakima,Bachelors,Management,F,S,0,2,0,0,111934,37
Grossmont,Graduate Degree,Professional,M,M,1,3,0,0,135171,32
Sooke,Partial College,Management,F,S,0,1,0,0,103352,29
Bellflower,Partial College,Clerical,F,S,0,2,0,0,76430,39
Redmond,Partial College,Skilled Manual,M,S,0,2,0,0,53604,30
Warrnambool,High School,Skilled Manual,M,S,1,0,0,0,51483,53
Kirkland,Partial College,Clerical,F,M,1,1,1,1,80096,41
Torrance,Partial College,Skilled Manual,M,M,1,1,0,2,61267,51
Bellingham,Partial College,Manual,F,M,0,0,0,0,36535,31
Santa Cruz,Bachelors,Skilled Manual,M,S,0,1,0,0,61011,36
San Gabriel,Partial College,Clerical,M,M,1,2,1,1,76871,50
Lebanon,Partial College,Management,F,M,1,1,1,2,102622,46
Lavender Bay,Bachelors,Management,F,S,0,3,0,0,102838,28
Sedro Woolley,Partial College,Clerical,M,S,1,1,0,0,81425,46
Warrnambool,Bachelors,Clerical,M,M,1,1,1,1,82902,39
Tacoma,Partial College,Clerical,M,M,1,2,1,1,80846,50
München,High School,Skilled Manual,F,M,1,1,0,2,52237,52
Lynnwood,High School,Manual,M,M,0,1,0,0,27223,29
London,Bachelors,Clerical,F,M,1,1,0,1,80178,55
Portland,High School,Skilled Manual,M,S,0,1,0,0,57143,30
Metchosin,Bachelors,Professional,M,M,1,3,1,2,137352,60
Glendale,Partial College,Skilled Manual,F,S,0,1,0,0,53808,46
Port Macquarie,Bachelors,Clerical,M,M,0,1,0,0,88035,32
Metchosin,Partial High School,Skilled Manual,M,S,0,1,0,0,59005,26
Hof,Bachelors,Manual,M,S,0,1,0,0,32647,38
Berlin,Partial College,Clerical,F,S,0,1,0,0,80578,27
Mill Valley,Partial College,Clerical,M,S,0,1,0,0,77796,29
Bellingham,Graduate Degree,Management,F,M,1,0,0,3,110189,74
Port Hammond,Graduate Degree,Professional,M,M,1,3,0,2,133057,67
Versailles,Partial College,Clerical,M,S,0,2,0,0,81305,35
Beverly Hills,Graduate Degree,Management,M,M,1,2,0,0,109627,34
Bracknell,Bachelors,Professional,F,S,1,1,0,0,130507,47
Rhodes,Bachelors,Skilled Manual,M,M,1,1,0,1,53911,40
Olympia,Partial College,Skilled Manual,F,S,1,2,0,0,51091,57
Santa Cruz,Graduate Degree,Clerical,M,M,1,1,1,1,80403,33
Berlin,Graduate Degree,Management,F,M,1,2,0,0,111796,37
Paris,Partial College,Clerical,F,S,0,2,0,0,77219,27
Brisbane,Partial College,Skilled Manual,F,S,1,2,0,0,55794,56
Walla Walla,Graduate Degree,Manual,M,M,0,1,0,2,29031,40
Lincoln Acres,High School,Manual,F,S,0,0,0,0,36240,30
Townsville,Bachelors,Manual,M,M,1,1,0,1,29115,47
Berlin,High School,Clerical,M,S,0,1,0,0,77548,41
Melton,Graduate Degree,Management,F,S,1,0,0,0,105342,38
Cloverdale,Bachelors,Skilled Manual,F,S,0,1,0,0,56597,42
Gold Coast,Bachelors,Management,M,M,1,1,0,2,107794,63
Dresden,Bachelors,Skilled Manual,F,M,1,0,1,1,53369,42
Dresden,Partial College,Skilled Manual,F,S,0,1,0,0,55236,37
Port Macquarie,Partial College,Skilled Manual,F,M,1,0,0,1,57645,52
Glendale,Partial College,Clerical,F,M,0,3,0,0,81882,27
Beaverton,Partial College,Clerical,F,M,1,1,0,1,86087,43
Palo Alto,Graduate Degree,Skilled Manual,M,M,1,1,0,2,59628,39
Puyallup,Bachelors,Management,F,M,1,2,1,2,102267,47
München,Bachelors,Skilled Manual,M,M,0,0,2,2,61466,35
Coffs Harbour,Partial College,Manual,F,M,1,0,0,2,25923,45
Fremont,Partial College,Manual,F,S,0,0,0,0,32869,32
Bremerton,Bachelors,Management,F,M,1,3,1,1,112560,33
Warrington,Graduate Degree,Clerical,M,M,1,1,1,1,83761,45
Les Ulis,Bachelors,Management,M,S,0,2,0,0,113276,35
Grossmont,Graduate Degree,Professional,F,M,1,2,1,1,132602,33
Findon,Bachelors,Management,M,S,0,0,0,0,108049,34
Berks,Graduate Degree,Professional,F,S,1,2,0,0,132877,43
Berkeley,Partial College,Skilled Manual,M,S,0,1,0,0,59541,29
Runcorn,Bachelors,Management,M,M,1,3,2,2,111680,40
Woodland Hills,Partial College,Management,M,M,1,2,0,2,106824,56
Cliffside,Graduate Degree,Management,M,S,1,3,0,0,110473,46
Lancaster,Bachelors,Manual,M,M,1,1,1,2,28360,62
Springwood,Bachelors,Skilled Manual,F,S,0,1,0,0,56300,39
Warrnambool,Partial High School,Manual,M,S,1,1,0,0,34520,57
Santa Cruz,Bachelors,Clerical,M,M,1,1,1,1,86464,42
Bellflower,Graduate Degree,Management,F,M,1,2,0,2,109617,67
Newport Beach,Bachelors,Management,F,S,1,2,0,0,103692,42
Lane Cove,Graduate Degree,Manual,F,S,0,0,0,0,27020,36
Edmonds,Bachelors,Manual,M,S,0,0,0,0,26213,42
Kirkland,High School,Skilled Manual,M,M,1,2,1,2,56896,58
Berlin,Bachelors,Management,F,M,1,1,0,0,109243,32
Caloundra,Bachelors,Skilled Manual,F,M,0,1,0,0,57447,25
Stuttgart,Partial High School,Skilled Manual,M,S,0,0,0,0,55375,32
Corvallis,Partial College,Manual,M,M,0,1,1,1,26374,40
Pantin,Partial College,Clerical,F,S,0,1,0,0,87475,30
Beaverton,Bachelors,Management,F,M,1,2,2,2,110017,38
Langley,Bachelors,Management,M,M,1,2,3,3,107738,64
Ballard,High School,Skilled Manual,F,M,1,1,1,2,56858,51
Bremerton,Partial College,Clerical,F,M,0,2,0,0,78440,29
London,Bachelors,Professional,F,M,1,2,0,0,134394,32
Imperial Beach,Partial College,Manual,M,M,1,1,1,2,29566,53
Westminster,Partial College,Clerical,F,S,0,1,0,0,77704,37
Langley,Bachelors,Management,M,M,1,3,0,0,110631,39
Gold Coast,Bachelors,Skilled Manual,F,M,1,1,1,1,56041,45
Dunkerque,Partial College,Management,F,S,1,2,0,0,101989,41
Cloverdale,Bachelors,Skilled Manual,F,S,0,1,0,0,57973,27
Melbourne,Bachelors,Manual,F,S,0,0,0,0,35119,39
Beverly Hills,Graduate Degree,Management,F,S,1,3,0,0,108814,38
West Covina,Bachelors,Skilled Manual,M,M,0,1,1,2,62062,34
Burlingame,Graduate Degree,Manual,F,M,0,1,1,2,33043,34
Paris,High School,Manual,M,S,0,0,0,0,26546,26
Lake Oswego,Graduate Degree,Management,M,S,0,2,0,0,106204,33
Silverwater,Partial High School,Skilled Manual,M,S,1,0,0,0,56782,50
St. Leonards,Partial High School,Skilled Manual,M,S,1,0,0,0,60722,55
Bellingham,Graduate Degree,Management,F,M,1,2,1,2,109295,67
Bellflower,Bachelors,Manual,M,S,0,1,0,0,26431,37
Los Angeles,Partial High School,Skilled Manual,F,S,1,1,0,0,56825,47
Versailles,High School,Clerical,F,S,1,3,0,0,79942,52
Versailles,High School,Skilled Manual,M,S,0,1,0,0,60015,32
Paris,Bachelors,Manual,F,M,0,1,0,0,33758,32
Wollongong,High School,Manual,M,S,0,0,0,0,33612,27
Chula Vista,Bachelors,Skilled Manual,M,S,0,1,0,0,62387,31
Cranbourne,Partial College,Clerical,F,S,1,3,0,0,80215,50
Beaverton,High School,Skilled Manual,M,S,0,2,0,0,53423,43
Perth,High School,Clerical,M,M,1,1,1,2,79968,57
Tacoma,High School,Skilled Manual,F,M,1,1,3,3,59690,61
National City,Partial College,Clerical,M,M,0,1,0,0,81905,26
Tacoma,Partial College,Skilled Manual,F,M,1,2,1,2,55385,55
Marysville,Bachelors,Management,F,S,1,1,0,0,109672,39
Cliffside,High School,Manual,F,S,0,1,0,0,34294,48
Geelong,Bachelors,Clerical,F,S,0,3,0,0,85349,37
Langford,Graduate Degree,Skilled Manual,M,M,1,1,0,2,55137,51
Bellflower,Partial College,Manual,M,M,0,1,1,2,29585,40
